Round,Loss,Accuracy,total_time_s
1,0.8138985633850098,0.3896103799343109,106.38
2,0.8063943982124329,0.3896103799343109,106.38
3,0.7991598844528198,0.40909090638160706,106.38
4,0.7922102808952332,0.44805195927619934,106.38
5,0.7854670882225037,0.4545454680919647,106.38
6,0.77889084815979,0.4675324559211731,106.38
7,0.7725571393966675,0.4935064911842346,106.38
8,0.7663831114768982,0.5129870176315308,106.38
9,0.7604494690895081,0.5259740352630615,106.38
10,0.7546534538269043,0.5389610528945923,106.38
