Round,Loss,Accuracy,total_time_s
1,0.8133841156959534,0.3896103799343109,105.5
2,0.8053104281425476,0.3896103799343109,105.5
3,0.7975988984107971,0.40909090638160706,105.5
4,0.7901907563209534,0.44155845046043396,105.5
5,0.782992422580719,0.4545454680919647,105.5
6,0.7760002017021179,0.4675324559211731,105.5
7,0.769159197807312,0.48701298236846924,105.5
8,0.7625628113746643,0.5064935088157654,105.5
9,0.7561644315719604,0.5259740352630615,105.5
10,0.7499573230743408,0.5389610528945923,105.5
