Round,Loss,Accuracy,total_time_s
1,0.8132575750350952,0.3896103799343109,106.15
2,0.8051450252532959,0.3896103799343109,106.15
3,0.7973267436027527,0.40909090638160706,106.15
4,0.7898129224777222,0.44805195927619934,106.15
5,0.7825697660446167,0.4610389471054077,106.15
6,0.7756400108337402,0.48051947355270386,106.15
7,0.7688416242599487,0.4935064911842346,106.15
8,0.7622042298316956,0.5064935088157654,106.15
9,0.7557956576347351,0.5259740352630615,106.15
10,0.7496327757835388,0.5389610528945923,106.15
