Round,Loss,Accuracy,total_time_s
1,0.8132575750350952,0.3896103799343109,194.02
2,0.8051450252532959,0.3896103799343109,194.02
3,0.7973267436027527,0.40909090638160706,194.02
4,0.7898129224777222,0.44805195927619934,194.02
5,0.7825697660446167,0.4610389471054077,194.02
6,0.7756401300430298,0.48051947355270386,194.02
7,0.7688417434692383,0.4935064911842346,194.02
8,0.7622043490409851,0.5064935088157654,194.02
9,0.7557957768440247,0.5259740352630615,194.02
10,0.7496328949928284,0.5389610528945923,194.02
11,0.7437015771865845,0.551948070526123,194.02
12,0.7377849221229553,0.551948070526123,194.02
13,0.7318663001060486,0.5779221057891846,194.02
14,0.7260904312133789,0.5714285969734192,194.02
15,0.720435380935669,0.5779221057891846,194.02
16,0.7149203419685364,0.5779221057891846,194.02
17,0.7095752358436584,0.5844155550003052,194.02
18,0.704483687877655,0.5779221057891846,194.02
19,0.6996041536331177,0.5779221057891846,194.02
20,0.694962739944458,0.5779221057891846,194.02
