Round,Loss,Accuracy,total_time_s
1,0.8138985633850098,0.3896103799343109,253.6
2,0.8063943982124329,0.3896103799343109,253.6
3,0.7991598844528198,0.40909090638160706,253.6
4,0.7922102808952332,0.44805195927619934,253.6
5,0.7854670286178589,0.4545454680919647,253.6
6,0.77889084815979,0.4675324559211731,253.6
7,0.7725571393966675,0.4935064911842346,253.6
8,0.7663831114768982,0.5129870176315308,253.6
9,0.7604494690895081,0.5259740352630615,253.6
10,0.7546534538269043,0.5389610528945923,253.6
11,0.7489425539970398,0.5584415793418884,253.6
12,0.743358850479126,0.5584415793418884,253.6
13,0.7377738952636719,0.5649350881576538,253.6
14,0.73222815990448,0.5779221057891846,253.6
15,0.7268346548080444,0.5779221057891846,253.6
16,0.7215942144393921,0.5779221057891846,253.6
17,0.7164681553840637,0.5844155550003052,253.6
18,0.7114688754081726,0.5844155550003052,253.6
19,0.7066440582275391,0.5844155550003052,253.6
20,0.7020823955535889,0.5844155550003052,253.6
