round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,0.6526477336883545,0.6818181872367859,0.01160743120008192,0.0031445519998669624,0.20506792068481444,110.16
2,0.6506666541099548,0.6818181872367859,0.012602726999966762,0.0034595800999795757,0.20494022369384765,110.16
3,0.6486741304397583,0.6753246784210205,0.011430750500085195,0.003075358400019468,0.20478620529174804,110.16
4,0.6467333436012268,0.6818181872367859,0.011807042200098294,0.0030963158998019934,0.20489034652709961,110.16
5,0.6447763442993164,0.6818181872367859,0.011692220999975689,0.002746231699893542,0.2047525405883789,110.16
6,0.6428476572036743,0.6818181872367859,0.012076059299943154,0.002998607999916203,0.20488557815551758,110.16
7,0.6409315466880798,0.6818181872367859,0.010940160000018295,0.002801967999948829,0.20488862991333007,110.16
8,0.639049768447876,0.6818181872367859,0.011059368299993367,0.002926400600017587,0.20485992431640626,110.16
9,0.6371942162513733,0.6818181872367859,0.01178490180004701,0.003026947899979859,0.20499067306518554,110.16
10,0.6353561282157898,0.6948052048683167,0.011969121900028768,0.0028930508000030385,0.20484428405761718,110.16
