round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,1.0345295667648315,0.33766233921051025,0.01089581950009233,0.002816084399819374,0.2050145149230957,191.44
2,1.0182243585586548,0.34415584802627563,0.010496407899972837,0.002522899699943082,0.2052462577819824,191.44
3,1.0024487972259521,0.33766233921051025,0.010151956500067172,0.002553294700010156,0.20526838302612305,191.44
4,0.987274169921875,0.3246753215789795,0.009544331899905955,0.0027771574999860605,0.20537004470825196,191.44
5,0.9725793600082397,0.3246753215789795,0.010328233900145279,0.0028346583997517884,0.2049492835998535,191.44
6,0.9583116173744202,0.31168830394744873,0.01087605339998845,0.0029547592002018065,0.20503816604614258,191.44
7,0.9443974494934082,0.3246753215789795,0.011035812700083625,0.0025640314999691325,0.2053375244140625,191.44
8,0.9310719966888428,0.3246753215789795,0.010985237700242578,0.0030018111997378583,0.20528535842895507,191.44
9,0.9180728793144226,0.3181818127632141,0.010815702699983377,0.0027223461001085526,0.20496768951416017,191.44
10,0.9055832624435425,0.3181818127632141,0.011020374400231958,0.0031266057000721046,0.20493335723876954,191.44
11,0.8936567306518555,0.3181818127632141,0.010569854999903327,0.0029758963996755483,0.20512495040893555,191.44
12,0.8822495341300964,0.33766233921051025,0.011751473699951021,0.003366997199918842,0.20487623214721679,191.44
13,0.8713364005088806,0.33766233921051025,0.011808959200152458,0.0029498244999558664,0.20529327392578126,191.44
14,0.8607926964759827,0.3636363744735718,0.01089423949997581,0.0032130163001056642,0.20540885925292968,191.44
15,0.8507601022720337,0.3571428656578064,0.011360314099965763,0.0029847051000615465,0.20496835708618164,191.44
16,0.8412882685661316,0.3636363744735718,0.013115142999959062,0.002833773100064718,0.20508127212524413,191.44
17,0.8321685791015625,0.37662336230278015,0.011990761600009137,0.003064098600043508,0.2048100471496582,191.44
18,0.8234469294548035,0.38311687111854553,0.011970272500093415,0.0030752532999031245,0.2054499626159668,191.44
19,0.8151462078094482,0.3961038887500763,0.011498020399994858,0.0030146919999424425,0.2054126739501953,191.44
20,0.8072717785835266,0.3896103799343109,0.01142747630001395,0.0029662860999451366,0.20500669479370118,191.44
