round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,0.6526477336883545,0.6818181872367859,0.011038091199952759,0.0030012582000381372,0.20536022186279296,197.23
2,0.6506666541099548,0.6818181872367859,0.011938716500071677,0.003284266499986188,0.20491180419921876,197.23
3,0.6486741304397583,0.6753246784210205,0.011956747499971243,0.0031971299999440815,0.2047708511352539,197.23
4,0.6467333436012268,0.6818181872367859,0.015991621999955897,0.0045675689998915915,0.20522384643554686,197.23
5,0.6447763442993164,0.6818181872367859,0.011436073999948348,0.002949028999910297,0.2045966148376465,197.23
6,0.6428476572036743,0.6818181872367859,0.011313196799983416,0.002709776599976976,0.20497255325317382,197.23
7,0.6409315466880798,0.6818181872367859,0.011093881299939313,0.002913850100139825,0.2049203872680664,197.23
8,0.639049768447876,0.6818181872367859,0.011222362199987401,0.0029558477000136917,0.20523834228515625,197.23
9,0.6371942758560181,0.6818181872367859,0.011336538600016866,0.002708810799958883,0.20491228103637696,197.23
10,0.635356068611145,0.6948052048683167,0.011439015699988887,0.003395407400012118,0.2050614356994629,197.23
11,0.6335172057151794,0.701298713684082,0.012179315600042174,0.0032168933999855653,0.2048778533935547,197.23
12,0.6317213773727417,0.701298713684082,0.01124202880005214,0.0025865426999644114,0.20503416061401367,197.23
13,0.62994384765625,0.701298713684082,0.011999917600041954,0.0035030198999720596,0.2049530029296875,197.23
14,0.6282063126564026,0.6948052048683167,0.013282664800044586,0.003475131600043824,0.2048412322998047,197.23
15,0.6265090703964233,0.6948052048683167,0.01188981190002778,0.0038292493999506406,0.20549516677856444,197.23
16,0.6248318552970886,0.6948052048683167,0.011355121100086763,0.0030958801000906533,0.2052840232849121,197.23
17,0.6231468319892883,0.6883116960525513,0.011270559700005834,0.002783513100075652,0.20527849197387696,197.23
18,0.6214838624000549,0.6883116960525513,0.011850013800039961,0.003285814499940898,0.2049427032470703,197.23
19,0.6198340058326721,0.6883116960525513,0.011536715300007928,0.002918402899967987,0.2051084518432617,197.23
20,0.6182331442832947,0.6883116960525513,0.011641041500024586,0.0033140053000352055,0.20495595932006835,197.23
