round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,0.8133841156959534,0.3896103799343109,0.010481969800048318,0.0026883319999342348,0.20478334426879882,196.9
2,0.8053103685379028,0.3896103799343109,0.011567146000015783,0.002935354200008078,0.20475454330444337,196.9
3,0.7975988984107971,0.40909090638160706,0.010903659900031925,0.002915824000046996,0.20502042770385742,196.9
4,0.7901906967163086,0.44155845046043396,0.01122645140003442,0.0029722343000230466,0.20508203506469727,196.9
5,0.782992422580719,0.4545454680919647,0.010680493000063507,0.002939468499926079,0.20466251373291017,196.9
6,0.7760002017021179,0.4675324559211731,0.011135169200042584,0.003005290399869409,0.2050320625305176,196.9
7,0.7691591382026672,0.48701298236846924,0.010808927499874698,0.003099075799991624,0.2048863410949707,196.9
8,0.7625628113746643,0.5064935088157654,0.012550496000039857,0.0029935359001683538,0.20536470413208008,196.9
9,0.7561643719673157,0.5259740352630615,0.010157284700017043,0.003149606299939478,0.20489397048950195,196.9
10,0.7499572038650513,0.5389610528945923,0.01222559890006778,0.003012746100057484,0.20500535964965821,196.9
11,0.743879497051239,0.551948070526123,0.011112365900135045,0.002942452500019499,0.20488452911376953,196.9
12,0.7378352284431458,0.551948070526123,0.010616720100006204,0.0028636692999953082,0.20516881942749024,196.9
13,0.7319105267524719,0.5714285969734192,0.011708165000027294,0.0030035067999506283,0.2050694465637207,196.9
14,0.726108968257904,0.5779221057891846,0.012538417499990828,0.003460435400120332,0.20533456802368164,196.9
15,0.7204588055610657,0.5779221057891846,0.011247038799911024,0.002931858799956899,0.205063533782959,196.9
16,0.715023934841156,0.5779221057891846,0.011298321800040867,0.003050310999969952,0.20529651641845703,196.9
17,0.7098264098167419,0.5844155550003052,0.011108487500041519,0.0030200652999155865,0.2050251007080078,196.9
18,0.7047814726829529,0.5844155550003052,0.012210583400019459,0.0030592853000143807,0.2049419403076172,196.9
19,0.6999557018280029,0.5844155550003052,0.012269790300024397,0.002960295499997301,0.2052164077758789,196.9
20,0.6953142881393433,0.5844155550003052,0.012014360600005602,0.0033796300000631164,0.20514612197875975,196.9
