round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,1.0345295667648315,0.33766233921051025,0.010926015499990172,0.0028364436999709143,0.20469160079956056,109.13
2,1.0182244777679443,0.34415584802627563,0.01195498970000699,0.002994527700002436,0.205458927154541,109.13
3,1.0024487972259521,0.33766233921051025,0.011541512199983117,0.0029413554999337065,0.20499029159545898,109.13
4,0.987274169921875,0.3246753215789795,0.010783249300084207,0.003017044999933205,0.20520734786987305,109.13
5,0.9725793600082397,0.3246753215789795,0.011435246500104768,0.002907450000020617,0.20497846603393555,109.13
6,0.9583116173744202,0.31168830394744873,0.011929555400001846,0.0027685640000981947,0.20492954254150392,109.13
7,0.9443974494934082,0.3246753215789795,0.011287169100023675,0.0029113394999058075,0.20480670928955078,109.13
8,0.9310721158981323,0.3246753215789795,0.012500883500024429,0.0030347419001373055,0.20491743087768555,109.13
9,0.9180729985237122,0.3181818127632141,0.01250772490006966,0.0029702404999625287,0.20495777130126952,109.13
10,0.9055832624435425,0.3181818127632141,0.011761214000080145,0.0029402149000361533,0.20489559173583985,109.13
