round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,0.8133841156959534,0.3896103799343109,0.011228903200026253,0.0031102496999665164,0.20506649017333983,113.72
2,0.8053104877471924,0.3896103799343109,0.011257663000014873,0.0025489015999482943,0.20492563247680665,113.72
3,0.7975988984107971,0.40909090638160706,0.010876343400013866,0.0030923311000151444,0.20548954010009765,113.72
4,0.7901907563209534,0.44155845046043396,0.011702290400035054,0.003323876500053302,0.2048318862915039,113.72
5,0.782992422580719,0.4545454680919647,0.012161718100105644,0.0030872099000589515,0.20481443405151367,113.72
6,0.7760002017021179,0.4675324559211731,0.011561264000056326,0.0031853000999490177,0.20506572723388672,113.72
7,0.7691591382026672,0.48701298236846924,0.01223167600001034,0.0033715720000145667,0.2053171157836914,113.72
8,0.7625628113746643,0.5064935088157654,0.014641437600039353,0.0035479045000556654,0.2049851417541504,113.72
9,0.7561644315719604,0.5259740352630615,0.011643375699986792,0.0032698504998734277,0.20504751205444335,113.72
10,0.7499573230743408,0.5389610528945923,0.012995288899946899,0.003341761499950735,0.20485076904296876,113.72
