round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,0.6526477336883545,0.6818181872367859,55.9526809035,15.995041916399998,0.14111032485961914,3987.97
2,0.6506666541099548,0.6818181872367859,63.81939225710001,20.227267579600017,0.14111003875732422,3987.97
3,0.6486741304397583,0.6753246784210205,60.19357633410002,17.407637633299988,0.14111080169677734,3987.97
4,0.6467333436012268,0.6818181872367859,48.811917712900005,14.499146923599948,0.14110975265502929,3987.97
5,0.6447763442993164,0.6818181872367859,48.808319776400026,14.483251282399987,0.14111032485961914,3987.97
6,0.6428476572036743,0.6818181872367859,48.71283003359999,14.414507485599984,0.14110956192016602,3987.97
7,0.6409315466880798,0.6818181872367859,48.90989085890003,14.53348316590002,0.14110908508300782,3987.97
8,0.639049768447876,0.6818181872367859,49.10115865260002,14.564098059200045,0.14110889434814453,3987.97
9,0.6371942758560181,0.6818181872367859,49.21901530809998,14.443370424999989,0.14110994338989258,3987.97
10,0.6353561282157898,0.6948052048683167,49.14393130320004,14.493348440599949,0.14110984802246093,3987.97
11,0.6335170865058899,0.701298713684082,50.494102677499995,14.709617968299971,0.14110937118530273,3987.97
12,0.6317213773727417,0.701298713684082,49.3570126835999,14.632878596199998,0.14111051559448243,3987.97
13,0.6299437880516052,0.701298713684082,49.29383858180008,14.606221163899908,0.14111032485961914,3987.97
14,0.6282063722610474,0.6948052048683167,49.60506583089996,14.551561718300036,0.14110841751098632,3987.97
15,0.6265090107917786,0.6948052048683167,49.443307623599914,14.703313233500012,0.14110984802246093,3987.97
16,0.6248318552970886,0.6948052048683167,49.79829005830002,14.774634375799996,0.14110937118530273,3987.97
17,0.6231468319892883,0.6883116960525513,49.954895175000004,14.677072081400047,0.14111080169677734,3987.97
18,0.6214838624000549,0.6883116960525513,50.071238557600054,14.543272810900088,0.1411111831665039,3987.97
19,0.6198341250419617,0.6883116960525513,49.704404383699924,14.88913848750003,0.14110898971557617,3987.97
20,0.6182332038879395,0.6883116960525513,50.75219889580012,14.793944691600108,0.14110937118530273,3987.97
