round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,0.8133841156959534,0.3896103799343109,58.29964526139993,17.0641005655998,0.14111013412475587,2242.95
2,0.8053104281425476,0.3896103799343109,59.82552945619991,17.048859256599826,0.14111051559448243,2242.95
3,0.7975989580154419,0.40909090638160706,60.943255879199754,17.971776740800124,0.14111080169677734,2242.95
4,0.7901907563209534,0.44155845046043396,56.57494972649984,16.426964218099965,0.14110908508300782,2242.95
5,0.782992422580719,0.4545454680919647,56.6764102838999,15.942472212600114,0.14111013412475587,2242.95
6,0.7760001420974731,0.4675324559211731,56.84458129240011,17.432868628600225,0.14111013412475587,2242.95
7,0.7691590785980225,0.48701298236846924,57.12742198619999,17.677157322699713,0.14111042022705078,2242.95
8,0.7625628113746643,0.5064935088157654,57.17517795180011,16.262105984600748,0.1411102294921875,2242.95
9,0.7561644315719604,0.5259740352630615,56.1505977039993,17.060444802700296,0.1411102294921875,2242.95
10,0.749957263469696,0.5389610528945923,55.652190966500164,17.72864388979997,0.14110965728759767,2242.95
