round,loss,acc,enc_s,dec_s,size_MB,total_time_s
1,1.0345295667648315,0.33766233921051025,49.600180392499894,15.27303314460005,0.1411111831665039,4134.34
2,1.0182243585586548,0.34415584802627563,50.88601418829985,14.935513572800028,0.1411111831665039,4134.34
3,1.0024487972259521,0.33766233921051025,49.80950524930004,14.696149349600091,0.1411111831665039,4134.34
4,0.987274169921875,0.3246753215789795,48.367525234599995,14.576863457400032,0.14111089706420898,4134.34
5,0.9725793600082397,0.3246753215789795,48.0813373072001,14.29979747919997,0.1411107063293457,4134.34
6,0.9583116173744202,0.31168830394744873,48.66584358380023,14.437616632800019,0.1411118507385254,4134.34
7,0.9443974494934082,0.3246753215789795,48.10488497819979,14.502903357800097,0.1411113739013672,4134.34
8,0.9310721158981323,0.3246753215789795,55.49829075010011,19.564218607299882,0.14111061096191407,4134.34
9,0.9180728793144226,0.3181818127632141,55.67096217640001,15.857971192499827,0.14111099243164063,4134.34
10,0.9055832624435425,0.3181818127632141,60.54788283079988,17.3457904719,0.14111080169677734,4134.34
11,0.8936567306518555,0.3181818127632141,65.73242096070007,20.721936716599977,0.14111051559448243,4134.34
12,0.8822495937347412,0.33766233921051025,64.69096800129992,17.792519010499927,0.14111003875732422,4134.34
13,0.8713364005088806,0.33766233921051025,56.921198470200125,16.07421628029988,0.1411113739013672,4134.34
14,0.8607927560806274,0.3636363744735718,51.38055770610017,14.67694699270005,0.14111080169677734,4134.34
15,0.8507602214813232,0.3571428656578064,49.506363429799784,14.733332181200149,0.14111051559448243,4134.34
16,0.8412882685661316,0.3636363744735718,49.160256862400004,14.63328443399987,0.14111089706420898,4134.34
17,0.8321685791015625,0.37662336230278015,49.03454926299992,14.801299288900008,0.14111108779907228,4134.34
18,0.8234469294548035,0.38311687111854553,49.488242389499916,14.727949908100072,0.14111080169677734,4134.34
19,0.8151462078094482,0.3961038887500763,49.18713229779996,14.810781125600169,0.14111032485961914,4134.34
20,0.8072717189788818,0.3896103799343109,49.64472428810004,15.01847886639971,0.1411111831665039,4134.34
